Voucher,12S
MZUSPField 1451,KU184037
CFBH 5915,AY843669
MACN 37791,AY843569
MNRJ 50124,KU184024
USNM 303032,AY549322
USNM 303036,AY549338
AF 414,AY843641
CFBH 5642,AY843676
AMNH-A 165163,AY549321
MHNLS 20324,MG596776
QCAZ 41826,JX155817/JX155844
SIUC-H 6924,AY843650
QCAZ 16704,AY563625
USNM 562071,AY843672
ROM 39582,AY843634
USNM 284519,AY549316
RWM 17746,AY843610
MAD 085,AY549336
MNRJ 54331,MT364281
CFBH 2966,AY843621
