Terminal,H1,COI,CYTB,H3,RAG1b,RHOD,TYR,28S,SIAH1
Cycloramphus_bandeirensis_MZUSP133898,MN265160/MN382578,NA,MN266409,NA,NA,NA,NA,NA,NA
Cycloramphus_boraceiensis_CFBH5757,DQ283097,DQ502856,DQ502588,DQ284147,DQ503357,DQ283813,DQ282924,DQ283498,DQ282675
Cycloramphus_organensis_ZUFABC0018,MN265218,NA,MN266459,NA,NA,NA,NA,NA,NA
Cycloramphus_rhyakonastes_CFBH06357,MN265221,NA,MN266460,NA,NA,NA,NA,NA,NA
Zachaenus_parvulus_CFBH27346,MN265230,NA,MN266469,NA,NA,NA,NA,NA,NA
Thoropa_miliaris_CFBH10125,MG799705/MG799578,MG799635,NA,NA,MG799765,MG799796,NA,NA,NA
Thoropa_taophora_CFBH29711,MG799583,MG799654,NA,NA,MG799783,MG799800,NA,NA,NA
Thoropa_megatympanum_MCNAM2072,MG799575,MG799626,NA,NA,MG799756,MG799793,NA,NA,NA
Thoropa_saxatilis_CFBH30381,MG799574,MG799621,NA,NA,MG799751,MG799792,NA,NA,NA
